,Course Code,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (grade),Scholarship holder,Debtor,Previous qualification (grade),Gender,Attendance,Marital status,Tuition fees up to date,Target,CGPA,DropOff_Rate,Appreciation_Rate
123,9670,19,0,12.8,0,14.2,yes,no,131.0,male,present,single,yes,Graduate,3.75,0.0,1.4
124,9085,19,0,14.166666666666666,0,12.2,no,no,130.0,male,present,single,yes,Graduate,3.662037037037037,1.97,0.0
126,9085,20,1,14.166666666666666,1,13.77777777777778,no,no,160.0,male,present,single,yes,Graduate,3.881172839506173,0.39,0.0
128,9238,18,0,13.0,0,13.666666666666666,no,no,131.0,male,present,single,yes,Graduate,3.7037037037037033,0.0,0.67
129,9500,19,0,13.467142857142855,0,15.011111111111113,no,no,132.0,male,present,single,yes,Graduate,3.9553130511463843,0.0,1.54
130,9500,18,0,13.2375,0,13.742857142857144,yes,no,138.0,male,present,single,yes,Dropout,3.7472718253968256,0.0,0.51
131,9070,18,0,12.333333333333334,0,13.0,no,no,130.0,male,present,single,yes,Graduate,3.5185185185185186,0.0,0.67
132,9147,19,0,12.4,0,14.6,no,no,126.0,male,present,single,yes,Graduate,3.75,0.0,2.2
134,9238,20,5,11.666666666666666,2,11.714285714285714,no,no,130.0,male,present,single,yes,Graduate,3.247354497354497,0.0,0.05
137,9773,18,0,14.833333333333334,0,14.833333333333334,yes,yes,153.0,male,present,single,yes,Graduate,4.12037037037037,0.0,0.0
139,9500,18,0,17.125,0,17.5875,no,no,178.0,male,present,single,yes,Graduate,4.821180555555555,0.0,0.46
140,9500,19,0,12.666666666666666,0,12.666666666666666,no,no,129.0,male,present,single,yes,Graduate,3.518518518518518,0.0,0.0
141,9773,19,0,12.666666666666666,0,12.0,yes,no,116.0,male,present,single,yes,Graduate,3.4259259259259256,0.67,0.0
143,9238,19,0,11.333333333333334,0,11.5,yes,no,135.0,male,present,single,yes,Graduate,3.1712962962962967,0.0,0.17
144,9500,19,0,13.605,0,12.33125,yes,no,141.0,male,present,single,yes,Graduate,3.6022569444444446,1.27,0.0
145,9853,19,0,12.0,0,10.8,yes,no,132.0,male,present,single,yes,Graduate,3.1666666666666665,1.2,0.0
148,9147,18,0,13.375,0,14.166666666666666,no,no,134.0,male,present,single,yes,Graduate,3.825231481481481,0.0,0.79
149,9500,20,0,13.863333333333337,0,14.178571428571429,yes,no,136.0,male,present,single,yes,Graduate,3.8947089947089952,0.0,0.32
151,9085,19,0,12.4,0,13.4,no,no,129.0,male,present,single,yes,Graduate,3.5833333333333335,0.0,1.0
153,9853,18,0,13.333333333333334,0,11.8,no,no,137.0,male,present,single,yes,Graduate,3.4907407407407405,1.53,0.0
156,9147,18,0,10.6,0,11.8,yes,no,131.0,male,present,single,yes,Graduate,3.1111111111111107,0.0,1.2
157,9238,18,0,12.25,0,11.857142857142858,yes,no,133.0,male,present,single,yes,Graduate,3.3482142857142856,0.39,0.0
159,8014,24,0,11.0,0,12.6,yes,no,120.0,male,absent,single,yes,Graduate,3.2777777777777777,0.0,1.6
160,9670,19,0,13.166666666666666,0,13.0,no,no,128.0,male,present,single,yes,Dropout,3.6342592592592586,0.17,0.0
161,9500,18,0,12.855555555555554,0,12.761111111111113,yes,no,127.0,male,present,single,yes,Graduate,3.5578703703703702,0.09,0.0
162,9500,18,0,14.91875,0,15.355,no,no,134.0,male,present,single,yes,Graduate,4.2046874999999995,0.0,0.44
164,9670,19,0,14.2,0,14.2,no,no,124.0,male,present,single,yes,Graduate,3.944444444444444,0.0,0.0
165,9773,19,0,12.5,0,13.0,yes,no,133.1,male,present,single,yes,Graduate,3.5416666666666665,0.0,0.5
168,9500,29,1,14.257142857142856,1,14.257142857142856,no,no,130.0,male,present,single,yes,Graduate,3.96031746031746,0.0,0.0
171,9130,20,0,12.457142857142856,0,13.5625,no,no,133.1,male,present,single,yes,Graduate,3.6138392857142856,0.0,1.11
172,9500,19,0,11.683333333333332,0,11.683333333333332,no,no,131.0,male,present,single,yes,Graduate,3.24537037037037,0.0,0.0
176,9853,27,0,13.2,0,12.0,no,no,130.0,male,present,single,yes,Graduate,3.5,1.2,0.0
178,9853,18,0,12.4,0,10.4,no,no,141.0,male,present,single,yes,Dropout,3.1666666666666665,2.0,0.0
179,9500,33,2,14.35,3,14.583333333333334,no,no,140.0,male,present,single,yes,Dropout,4.018518518518518,0.0,0.23
187,9500,18,0,13.05,0,13.05,yes,no,141.0,male,present,single,yes,Graduate,3.625,0.0,0.0
189,9070,20,0,11.5,0,12.0,no,no,148.0,male,present,single,yes,Graduate,3.263888888888889,0.0,0.5
190,9254,21,0,12.0,0,12.5,yes,no,125.0,male,present,single,yes,Graduate,3.4027777777777777,0.0,0.5
194,9500,18,0,12.242857142857144,0,12.242857142857144,no,no,142.0,male,present,single,yes,Graduate,3.400793650793651,0.0,0.0
196,9500,18,0,12.93375,0,12.93375,no,no,126.0,male,present,single,yes,Graduate,3.5927083333333334,0.0,0.0
198,9853,18,0,12.571428571428571,0,14.428571428571429,no,no,130.0,male,present,single,yes,Graduate,3.75,0.0,1.86
201,9238,20,0,11.166666666666666,0,11.333333333333334,no,no,127.0,male,present,single,yes,Graduate,3.125,0.0,0.17
202,9500,18,0,12.324285714285711,0,12.324285714285711,no,no,140.0,male,present,single,yes,Graduate,3.4234126984126974,0.0,0.0
203,9238,21,3,12.166666666666666,2,11.714285714285714,no,yes,130.0,male,present,single,yes,Graduate,3.3167989417989414,0.45,0.0
206,9500,18,0,12.914285714285713,0,12.914285714285713,no,no,149.0,male,present,single,yes,Graduate,3.587301587301587,0.0,0.0
207,9773,18,0,13.833333333333334,0,14.166666666666666,yes,no,155.0,male,present,single,yes,Graduate,3.888888888888889,0.0,0.33
208,9085,19,0,13.857142857142858,0,13.4,no,no,120.0,male,present,single,yes,Graduate,3.785714285714286,0.46,0.0
209,9254,36,0,13.714285714285714,0,12.8,yes,no,133.1,male,present,single,yes,Dropout,3.6825396825396823,0.91,0.0
210,9500,18,0,12.642857142857142,0,12.642857142857142,yes,no,131.0,male,present,single,yes,Graduate,3.511904761904762,0.0,0.0
211,9500,18,0,12.916666666666666,0,12.916666666666666,yes,no,149.0,male,present,single,yes,Graduate,3.587962962962963,0.0,0.0
212,9130,20,0,15.625,0,15.857142857142858,yes,no,140.0,male,present,single,yes,Graduate,4.372519841269841,0.0,0.23
214,9773,21,0,11.714285714285714,0,12.0,no,no,122.0,male,present,single,yes,Graduate,3.2936507936507935,0.0,0.29
216,9147,19,0,11.6,0,11.6,yes,no,121.0,male,present,single,yes,Graduate,3.222222222222222,0.0,0.0
221,9853,19,0,13.333333333333334,0,14.5,yes,no,134.0,male,present,married,yes,Graduate,3.865740740740741,0.0,1.17
223,9500,19,0,13.85,0,12.19285714285714,yes,no,127.0,male,present,single,yes,Graduate,3.617063492063491,1.66,0.0
224,9500,19,0,13.741666666666667,0,14.9125,yes,no,135.0,male,present,single,yes,Graduate,3.9797453703703707,0.0,1.17
225,9991,33,2,15.333333333333334,0,15.8,no,no,140.0,male,absent,married,yes,Graduate,4.3240740740740735,0.0,0.47
226,9147,45,0,11.0,0,13.8,no,no,130.0,male,present,married,yes,Graduate,3.4444444444444446,0.0,2.8
227,9238,20,0,12.0,0,12.857142857142858,yes,no,135.0,male,present,single,yes,Graduate,3.4523809523809526,0.0,0.86
229,9500,19,0,11.571428571428571,0,11.571428571428571,yes,no,120.0,male,present,single,yes,Graduate,3.214285714285714,0.0,0.0
232,9670,19,0,13.0,0,13.2,no,no,135.0,male,present,single,yes,Graduate,3.638888888888889,0.0,0.2
233,9254,21,0,11.0,0,12.0,yes,no,123.0,male,present,single,yes,Graduate,3.194444444444444,0.0,1.0
235,9238,22,0,12.6,0,13.0,yes,no,154.0,male,present,single,yes,Graduate,3.555555555555556,0.0,0.4
236,9853,18,0,13.4,0,13.166666666666666,yes,no,148.0,male,present,single,yes,Graduate,3.689814814814815,0.23,0.0
237,9238,18,0,11.333333333333334,0,11.571428571428571,yes,no,133.0,male,present,single,yes,Graduate,3.181216931216931,0.0,0.24
242,9147,20,0,11.6,0,13.6,yes,no,118.0,male,present,single,yes,Graduate,3.5,0.0,2.0
244,9147,20,5,12.9,4,12.363636363636363,yes,no,127.0,male,present,single,yes,Graduate,3.508838383838384,0.54,0.0
245,9500,23,0,13.22,0,13.22,no,no,130.0,male,present,single,yes,Graduate,3.6722222222222225,0.0,0.0
246,9500,19,0,13.151428571428571,0,13.151428571428571,yes,no,129.0,male,present,single,yes,Graduate,3.653174603174603,0.0,0.0
249,9670,18,0,13.25,0,14.142857142857142,yes,no,136.0,male,present,single,yes,Graduate,3.804563492063492,0.0,0.89
251,9773,18,0,15.0,0,12.833333333333334,yes,no,131.0,male,present,single,yes,Dropout,3.865740740740741,2.17,0.0
252,9085,19,0,14.4,0,13.0,no,no,122.0,male,present,single,yes,Graduate,3.8055555555555554,1.4,0.0
254,9147,18,0,12.4,0,10.8,no,no,136.0,male,present,single,yes,Graduate,3.2222222222222223,1.6,0.0
256,9991,29,0,13.571428571428571,0,12.333333333333334,no,no,127.0,male,absent,single,yes,Graduate,3.5978835978835977,1.24,0.0
258,9238,19,0,11.666666666666666,0,12.666666666666666,yes,no,121.0,male,present,single,yes,Graduate,3.3796296296296293,0.0,1.0
260,9254,20,0,11.166666666666666,0,10.6,yes,no,131.0,male,present,single,yes,Graduate,3.023148148148148,0.57,0.0
262,9119,30,8,11.75,6,12.166666666666666,no,yes,130.0,male,present,single,no,Dropout,3.3217592592592586,0.0,0.42
263,9238,18,0,14.0,0,14.0,no,no,135.0,male,present,single,yes,Graduate,3.888888888888889,0.0,0.0
264,9238,18,0,12.833333333333334,0,12.0,no,no,130.0,male,present,single,yes,Graduate,3.4490740740740744,0.83,0.0
266,9500,18,0,14.828571428571427,0,14.828571428571427,no,no,146.0,male,present,single,yes,Graduate,4.119047619047619,0.0,0.0
267,9773,19,0,11.4,0,12.8,yes,no,154.0,male,present,single,yes,Graduate,3.3611111111111116,0.0,1.4
268,9070,19,0,13.0,0,12.5,yes,no,137.0,male,present,single,yes,Graduate,3.5416666666666665,0.5,0.0
269,9500,18,0,13.671428571428573,0,13.671428571428573,yes,no,151.0,male,present,single,yes,Graduate,3.797619047619048,0.0,0.0
270,9003,21,0,12.666666666666666,0,12.8,yes,no,150.0,male,present,single,yes,Graduate,3.537037037037037,0.0,0.13
272,9147,20,0,13.5,0,12.333333333333334,no,no,122.0,male,present,single,yes,Graduate,3.5879629629629632,1.17,0.0
273,9500,19,2,12.67,1,13.55,no,no,143.0,male,present,single,yes,Graduate,3.6416666666666666,0.0,0.88
274,9238,20,0,14.5,0,15.428571428571429,no,no,152.0,male,present,single,yes,Graduate,4.156746031746032,0.0,0.93
275,9500,18,0,13.685714285714283,0,15.3875,no,no,145.0,male,present,single,yes,Graduate,4.037946428571428,0.0,1.7
277,9130,29,7,11.555555555555555,5,13.2,no,yes,140.0,male,present,married,no,Dropout,3.4382716049382713,0.0,1.64
279,9500,20,0,14.00375,0,13.812857142857142,yes,no,129.0,male,present,single,yes,Graduate,3.863417658730159,0.19,0.0
281,8014,47,0,14.166666666666666,0,14.166666666666666,yes,no,133.1,male,absent,married,yes,Graduate,3.935185185185185,0.0,0.0
282,9991,31,1,14.0,0,13.8,no,no,127.0,male,absent,married,yes,Graduate,3.861111111111111,0.2,0.0
283,9070,21,0,13.8,0,12.833333333333334,yes,no,126.0,male,present,single,yes,Graduate,3.699074074074074,0.97,0.0
284,8014,21,0,12.8,0,11.857142857142858,no,no,128.0,male,absent,single,yes,Graduate,3.424603174603175,0.94,0.0
285,9773,24,0,12.166666666666666,0,13.833333333333334,no,no,100.0,male,present,married,yes,Graduate,3.611111111111111,0.0,1.67
288,8014,19,0,10.833333333333334,0,11.5,yes,no,117.0,male,absent,single,yes,Graduate,3.101851851851852,0.0,0.67
289,9500,24,0,13.385,0,13.385,no,no,140.0,male,present,single,yes,Graduate,3.7180555555555554,0.0,0.0
290,9085,19,0,15.666666666666666,0,14.5,no,no,123.0,male,present,single,yes,Graduate,4.189814814814814,1.17,0.0
291,9003,19,0,14.333333333333334,0,13.833333333333334,yes,yes,150.0,male,present,single,yes,Graduate,3.912037037037037,0.5,0.0
293,9238,18,0,11.666666666666666,0,11.666666666666666,yes,no,123.0,male,present,single,yes,Graduate,3.2407407407407405,0.0,0.0
295,9500,19,0,14.725714285714288,0,14.725714285714288,yes,no,137.0,male,present,married,yes,Graduate,4.090476190476191,0.0,0.0
296,9773,18,0,14.166666666666666,0,13.666666666666666,yes,no,126.0,male,present,single,yes,Graduate,3.8657407407407405,0.5,0.0
297,9238,18,0,11.571428571428571,0,12.333333333333334,no,no,125.0,male,present,single,yes,Graduate,3.32010582010582,0.0,0.76
298,9130,20,0,12.5,0,13.1375,no,no,112.0,male,present,single,yes,Graduate,3.560763888888889,0.0,0.64
299,9500,18,0,12.86,0,12.86,no,no,141.0,male,present,single,yes,Graduate,3.572222222222222,0.0,0.0
300,9670,18,0,12.25,0,13.714285714285714,no,no,135.0,male,present,single,yes,Graduate,3.6061507936507935,0.0,1.46
302,9500,18,0,15.116666666666667,0,16.168888888888887,yes,no,160.0,male,present,single,yes,Graduate,4.345216049382715,0.0,1.05
308,9085,19,0,15.2,0,13.2,no,no,142.0,male,present,single,yes,Graduate,3.944444444444444,2.0,0.0
310,9238,26,0,14.833333333333334,0,15.142857142857142,no,yes,160.0,male,present,single,yes,Graduate,4.163359788359788,0.0,0.31
312,9147,18,0,11.2,0,11.8,yes,no,142.0,male,present,single,yes,Graduate,3.194444444444444,0.0,0.6
313,9853,20,0,13.4,0,13.666666666666666,yes,no,121.0,male,present,single,yes,Graduate,3.759259259259259,0.0,0.27
315,9147,18,0,16.2,0,16.4,no,no,153.0,male,present,single,yes,Graduate,4.527777777777777,0.0,0.2
316,9500,18,0,14.542857142857144,0,14.88181818181818,yes,no,140.0,male,present,single,yes,Graduate,4.086760461760462,0.0,0.34
317,9500,19,0,13.694285714285714,0,14.355555555555554,no,no,152.0,male,present,single,yes,Graduate,3.8958112874779536,0.0,0.66
318,9238,18,0,11.285714285714286,0,11.857142857142858,yes,no,120.0,male,present,single,yes,Graduate,3.2142857142857144,0.0,0.57
321,9500,19,0,13.058571428571428,0,13.058571428571428,yes,no,100.0,male,present,single,yes,Graduate,3.627380952380952,0.0,0.0
322,9500,19,0,14.3,0,14.055555555555555,no,no,150.0,male,present,single,yes,Graduate,3.9382716049382713,0.24,0.0
323,9147,19,3,11.8,4,12.0,no,no,124.0,male,present,single,yes,Graduate,3.3055555555555554,0.0,0.2
326,9500,19,0,13.333333333333334,0,13.333333333333334,no,no,134.0,male,present,single,yes,Graduate,3.7037037037037037,0.0,0.0
327,9238,18,0,11.857142857142858,0,11.0,no,yes,134.0,male,present,single,yes,Graduate,3.1746031746031744,0.86,0.0
332,9238,20,0,12.0,0,13.0,no,no,107.0,male,present,single,yes,Graduate,3.4722222222222223,0.0,1.0
333,8014,19,0,12.666666666666666,0,11.666666666666666,no,no,126.0,male,absent,single,yes,Graduate,3.3796296296296293,1.0,0.0
334,9238,18,0,12.166666666666666,0,13.666666666666666,yes,no,133.0,male,present,single,yes,Graduate,3.587962962962963,0.0,1.5
335,9238,19,3,13.333333333333334,2,14.666666666666666,no,no,140.0,male,present,single,yes,Graduate,3.888888888888889,0.0,1.33
336,9853,40,0,15.0,0,14.571428571428571,no,yes,110.0,male,present,single,yes,Graduate,4.107142857142857,0.43,0.0
337,9500,18,0,13.39125,0,13.39125,yes,no,141.0,male,present,single,yes,Graduate,3.7197916666666666,0.0,0.0
338,9238,19,0,12.166666666666666,0,12.428571428571429,no,no,122.0,male,present,single,yes,Graduate,3.4160052910052907,0.0,0.26
342,8014,33,0,12.833333333333334,0,12.857142857142858,no,no,120.0,male,absent,married,yes,Graduate,3.568121693121693,0.0,0.02
343,9003,35,0,14.0,0,13.1,no,no,130.0,male,present,single,yes,Graduate,3.763888888888889,0.9,0.0
345,9773,18,0,13.5,0,12.5,no,no,140.0,male,present,single,yes,Graduate,3.611111111111111,1.0,0.0
347,9991,39,0,11.0,0,11.666666666666666,no,no,133.1,male,absent,married,yes,Graduate,3.148148148148148,0.0,0.67
348,9238,44,0,13.0,0,13.833333333333334,no,no,120.0,male,present,married,yes,Graduate,3.726851851851852,0.0,0.83
351,9773,20,0,13.666666666666666,0,13.333333333333334,yes,no,123.0,male,present,single,yes,Graduate,3.75,0.33,0.0
353,9500,18,0,14.2,0,14.2,yes,yes,151.0,male,present,married,yes,Graduate,3.944444444444444,0.0,0.0
355,9085,18,0,15.0,0,16.428571428571427,no,no,133.0,male,present,single,yes,Graduate,4.365079365079365,0.0,1.43
356,9500,24,0,12.585714285714284,0,13.44285714285714,no,no,133.1,male,present,single,yes,Graduate,3.6150793650793647,0.0,0.86
360,9853,18,0,11.666666666666666,0,11.833333333333334,no,no,140.0,male,present,single,yes,Graduate,3.263888888888889,0.0,0.17
363,9085,22,7,13.5,4,13.714285714285714,yes,no,140.0,male,present,single,yes,Graduate,3.7797619047619047,0.0,0.21
365,9085,21,0,16.153846153846153,0,15.75,yes,no,133.1,male,present,single,yes,Graduate,4.431089743589744,0.4,0.0
366,9500,21,0,14.033333333333331,0,14.033333333333331,yes,no,136.0,male,present,single,yes,Graduate,3.8981481481481475,0.0,0.0
368,9853,19,0,13.857142857142858,0,13.666666666666666,yes,no,122.0,male,present,single,yes,Graduate,3.822751322751323,0.19,0.0
369,9500,18,0,13.414285714285716,0,13.414285714285716,no,no,138.0,male,present,single,yes,Dropout,3.7261904761904767,0.0,0.0
370,8014,50,7,13.545454545454543,3,13.571428571428571,no,no,160.0,male,absent,married,yes,Graduate,3.766233766233766,0.0,0.03
372,9773,19,0,13.833333333333334,0,14.428571428571429,yes,no,161.0,male,present,single,yes,Graduate,3.9252645502645502,0.0,0.6
373,9991,35,0,12.0,0,12.857142857142858,no,no,140.0,male,absent,married,yes,Graduate,3.4523809523809526,0.0,0.86
377,9500,18,0,15.135714285714286,0,15.287499999999998,yes,no,152.0,male,present,single,yes,Graduate,4.225446428571428,0.0,0.15
380,9500,26,0,12.74,0,10.978571428571428,yes,no,133.1,male,present,married,yes,Dropout,3.294246031746032,1.76,0.0
383,9853,19,0,13.428571428571429,0,13.166666666666666,yes,no,125.0,male,present,single,yes,Graduate,3.693783068783069,0.26,0.0
384,9147,20,6,12.555555555555555,3,11.11111111111111,no,no,140.0,male,present,single,yes,Graduate,3.2870370370370368,1.44,0.0
385,9238,19,0,11.5,0,11.166666666666666,no,no,124.0,male,present,single,yes,Graduate,3.148148148148148,0.33,0.0
386,9853,18,0,13.666666666666666,0,12.333333333333334,no,no,140.0,male,present,single,yes,Graduate,3.611111111111111,1.33,0.0
387,9991,28,10,11.272727272727272,6,12.0,no,no,130.0,male,absent,single,yes,Graduate,3.2323232323232323,0.0,0.73
389,8014,21,3,14.666666666666666,2,14.166666666666666,yes,no,160.0,male,absent,single,yes,Graduate,4.00462962962963,0.5,0.0
392,9773,18,0,13.0,0,11.4,no,yes,141.0,male,present,single,no,Dropout,3.3888888888888884,1.6,0.0
394,9085,18,0,14.857142857142858,0,14.0,no,no,166.0,male,present,single,yes,Graduate,4.007936507936508,0.86,0.0
395,9500,19,0,12.86,0,12.86,yes,no,147.0,male,present,single,yes,Graduate,3.572222222222222,0.0,0.0
396,9238,20,5,11.727272727272728,5,12.0,no,no,121.0,male,present,single,yes,Graduate,3.2954545454545454,0.0,0.27
404,9500,19,0,14.731428571428571,0,14.731428571428571,no,no,142.0,male,present,single,yes,Graduate,4.092063492063492,0.0,0.0
406,9070,21,9,13.615384615384617,6,14.25,no,no,120.0,male,present,single,yes,Graduate,3.870192307692308,0.0,0.63
407,9991,27,0,15.8,0,14.8,no,no,140.0,male,absent,single,yes,Graduate,4.25,1.0,0.0
408,9238,19,0,14.666666666666666,0,14.571428571428571,no,no,135.0,male,present,single,yes,Graduate,4.060846560846561,0.1,0.0
410,9500,18,0,14.654285714285717,0,14.654285714285717,yes,no,137.0,male,present,single,yes,Graduate,4.070634920634921,0.0,0.0
411,9500,24,0,12.401428571428571,0,12.401428571428571,no,no,122.0,male,present,single,yes,Graduate,3.4448412698412696,0.0,0.0
412,9500,20,0,11.5875,0,14.071428571428571,no,no,128.0,male,present,single,yes,Graduate,3.563740079365079,0.0,2.48
413,9991,26,3,14.0,1,15.6,no,no,140.0,male,absent,single,yes,Graduate,4.111111111111112,0.0,1.6
